Gene,Log2FC,PVal
KDELR3,-2.85376502962003,0.0003584172041444
CSNK1E,-4.44887696308326,0.0009603628855782
APOL1,-4.47090765634701,2.419683091827277e-22
APOL2,-3.1203816155168624,2.45623580870758e-17
APOL3,-4.508434789596477,2.934114344919331e-05
APOL6,-2.257374680406957,1.0170438017715314e-08
PIK3IP1,-1.6973947632169577,0.0023253103522322
SELENOM,-3.364430766811725,1.850771003501779e-07
OSBP2,-3.716136552119387,4.521522068860352e-30
SLC35E4,-1.767715973039291,0.0007005405203347
LIF,-3.0845343037201074,4.5808069224668926e-08
PRAME,-6.568101911912792,0.0410271219748036
SLC9A3P2,-5.657800483682671,0.0209323766802706
SMPD4P1,-7.221327870302575,0.0031188220108071
KRT18P5,-2.469916809304735,0.0403812874357421
SCARF2,-2.437333026100828,0.0012402084902845
LINC00896,-3.3645171007169683,0.029317793273347
TBX1,-1.7224877223425508,0.0020813545579346
USP18,-1.547280104087572,0.0097745396736816
CECR7,-7.196876597540951,0.0026330362979788
COL6A2,-5.836648526180744,0.0152213414482705
COL6A1,-2.925748869799484,3.4046350213840525e-05
LRRC3,-5.392670594170044,0.0008187360337104
TRPM2-AS,-5.466385927079201,0.026315098158846
TRPM2,-4.492144770224046,2.4568717250306295e-08
ERVH48-1,-1.7357294536302463,0.0373188571395717
PDE9A,-3.5767060640952275,9.240463470269006e-06
ABCG1,-4.633555527856419,1.2673726551326797e-07
TMPRSS2,-6.592836099323183,0.0061558157992883
MX1,-3.2909736464296526,8.530320628334482e-11
MX2,-5.664977004105108,0.0190601426392681
RIPPLY3,-3.185788360123184,0.0423026258932173
SIM2,-4.830659776776106,5.018357450097372e-12
CBR3-AS1,-6.096159444405754,0.0134308722275785
LINC00649,-6.968539285204605,0.0046271361847855
NRIP1,-2.0132207418711348,3.421724215439842e-09
PCMTD2,-1.6800935455412005,4.324905046834366e-05
C20orf204,-2.508533710611006,0.0009465044185555
ZBTB46,-2.2409606170778265,0.0153045481028035
RTEL1-TNFRSF6B,-6.858183287246104,0.0357885851167734
STMN3,-3.889424728433376,2.0321931766311508e-08
MHENCR,-1.7063709087087804,0.0073292958521451
FNDC11,-2.358662398162474,0.0429255282113535
EEF1A2,-4.826236963773868,0.0012254692498171
SLCO4A1-AS1,-4.115910899203233,5.389517778505466e-06
SLCO4A1,-4.639419832219473,9.833039806554733e-40
OSBPL2,-1.9082478301439336,7.399822428611367e-06
MIR646HG,-1.6694254929864285,0.0206071260945359
SYCP2,-4.840124862643795,0.04716479928118
PRELID3B,-2.470625519516969,0.0022920242085894
ATP5F1E,-3.925650687756341,0.000153492848831
NPEPL1,-4.474280372194328,0.0013315503654682
PFDN4,-1.5341223929809815,0.0017438805682934
SALL4,-6.037419167969215,0.0132927294396609
ATP9A,-3.725998249379221,3.502326328567932e-16
NFATC2,-4.900257922334554,0.0498994689573991
PSMD10P1,-1.5860238849614898,0.0177346285218208
PARD6B,-1.5992292788841,0.0011752459794241
CEBPB,-1.6011141706748766,9.126297638830172e-05
UBE2V1,-1.886981164973784,0.001132701354765
SNAI1,-4.680656146687404,0.0020746066435647
KRT18P4,-3.229056751709894,0.0062499913727776
RNF114,-2.116239680943859,1.2400107397326931e-11
PREX1,-4.660865806033443,3.078580296595209e-07
EYA2,-2.529615368463511,0.0246276571848043
WFDC2,-7.501365565969793,0.002168855526608
SLPI,-2.713262160455789,2.980030263473876e-07
PI3,-6.189825705968003,0.0186366585398424
OSER1,-1.8143078707292304,5.016891062157398e-06
TOX2,-3.896723169777582,4.937578352292272e-06
PLCG1-AS1,-3.452514945860314,0.0139389388238366
ARHGAP40,-6.024517805293586,0.018653193793488
SNORA71B,-2.16130916535596,0.0121575044116782
SNHG17,-1.6264112623086913,0.0059312389143657
VSTM2L,-3.89034070698728,0.0138588973284399
SLA2,-4.883059901602327,0.0445171916122938
MYL9,-2.977888967759068,1.150547005096538e-07
EPB41L1,-3.107405594685694,2.4195589861653675e-10
FER1L4,-5.891564119900703,8.217504339176558e-13
EDEM2,-2.366041031661411,0.0319021150751898
MYH7B,-2.5896237180968367,0.0001214131993232
C20orf144,-3.088658273215953,0.0418107661247515
NECAB3,-2.032913528129654,9.856326154078522e-06
SNTA1,-3.109451472272521,7.66439971239129e-08
DNMT3B,-2.925894177661377,8.50983254439446e-16
BAK1P1,-5.064776192611784,0.0351202332453895
NOL4L,-2.8299426670154992,5.088318397792168e-06
ABALON,-3.3477551387139046,0.0007223989702179
BCL2L1,-2.186445537892902,1.6347424509796948e-18
ID1,-3.345118262029572,2.6900207760174223e-14
FRG1BP,-1.5441364851028838,0.0326733297600486
ZNF337-AS1,-2.73683046963172,0.0018016497955188
NINL,-2.31603361543338,2.9502594720087485e-07
THBD,-4.705236061118383,9.279115101502536e-16
RPL41P1,-4.1324979066623015,0.0253610957304926
KIZ,-2.464869964256009,2.9836487044496862e-05
BFSP1,-2.4921983932855443,0.0078378091421231
PLCB1,-2.172983290340245,0.0413125380103687
BMP2,-3.0620939469601733,5.068676762600362e-07
EIF4EP1,-2.369847489324626,0.0123422410792186
GPCPD1,-2.7850744792379865,3.417376075960518e-11
ADRA1D,-6.750611175461733,0.00498024494403
SIRPB2,-2.550394700898131,0.0244026241811391
SDCBP2,-5.839205003560931,0.015646728903938
TMEM238,-2.5813871342731507,0.0019965874349168
IL11,-1.565067596254387,0.0491097012669187
COX6B2,-3.151648211383161,0.0018032710413709
BRSK1,-4.808170414240327,0.001246966074384
PTPRH,-7.51096005028659,0.0016269103075138
ZNF761,-4.818340137821145,0.0346654768405609
ZNF432,-1.511898723190107,0.0113560629900673
ZNF350,-1.5945099285229385,0.015964906219687
DHDH,-3.493337001309149,0.0308452473540897
FUT2,-4.785754933867046,0.0462486096263342
GRIN2D,-4.104322734563192,1.1573152037163473e-11
PNMA8A,-3.1280238185038307,5.596470893668006e-07
TRAPPC6A,-2.957475694080724,0.0011824954526148
CEACAM19,-2.1266721409970955,0.0004930014241217
CD177,-4.063436902178625,0.0085546164699306
PSG9,-3.9120161041533215,0.0090897764060797
PSG4,-6.482494493939144,0.0066743974451862
PSG5,-4.982241514236113,0.001329569340284
PSG11,-5.020084583489545,0.001822011824845
CEACAMP7,-5.232102331430444,0.0300752926512244
PSG7,-4.121544512136845,3.6961201509198567e-06
PSG6,-8.01828571282159,0.0009454901403984
PSG1,-6.721889506181905,8.898613019765363e-06
PSG10P,-5.348879822057344,0.0270280809577196
CEACAM1,-2.4791349417245243,0.0007442391106896
EXOSC5,-1.522875192491228,0.0005252215395504
ACP7,-2.5848373938836517,0.0050497639512767
FBXO27,-1.9294127914154624,0.0025427994046268
ZNF850,-1.8206215988454533,0.0020173459436822
ZNF461,-1.9622816610727285,0.0099286043195896
ZBTB32,-2.5027563463227103,0.0242289556546554
ZNF181,-2.420056464008637,0.0238892993785004
RHPN2,-2.4004292341697564,4.475277764786904e-08
ZNF681,-1.5768859245751423,0.0166228364529384
ZNF91,-2.2256275884526318,3.298451774816617e-08
ZNF493,-2.7600928634322464,0.0039404670877749
ZNF93,-1.8628246652572864,0.00056625675194
ZNF506,-1.8706075762116996,0.0013796377916284
CERS1,-2.3222661197373413,0.0355765831884509
GDF15,-5.909602767059121,1.3969217925455288e-12
