Gene,Log2FC,PVal
ZNF44,-1.7672945465211447,0.0173372479767893
ZNF136,-2.906513373865206,0.0007312978710841
HNRNPA1P10,-2.638334363862498,0.004848743806197
ZNF627,-1.6042005112828872,0.009405830769481
PLPPR2,-1.6635620750700195,0.0031060217300274
ILF3-DT,-1.7060729902834897,0.0002460684067672
CDKN2D,-2.8650058491326886,2.256956120781421e-05
ICAM5,-2.892185702506247,2.4422747525335056e-05
ICAM1,-6.094257955438128,5.2965634181526144e-08
S1PR2,-2.924340565112037,0.0001504833716405
P2RY11,-6.364000123801964,0.0458606857332232
PPAN,-1.5028255108532869,0.0325379941354076
OLFM2,-4.753635424627014,0.0487750257662593
UBL5,-1.8490501632550465,7.201572892863951e-08
ZNF812P,-5.362100290342387,9.14028464857038e-07
ZNF121,-1.9722480918480667,2.990213538435898e-09
ZNF426,-1.535450745387139,7.623255623581497e-05
ZNF266,-3.603447110954525,1.9127530948733317e-12
ZNF559,-2.527353397210821,0.0002471174929884
ZNF699,-1.5750723978021448,0.0142788137439879
ZNF317,-1.729997456233063,1.2804606203178424e-11
MUC16,-4.333444127374718,1.1005721673414121e-14
MYO1F,-6.46413190364092,0.0075816177628648
INSR,-2.2986538121861164,6.416250320949687e-07
VAV1,-3.5138907991361834,0.0013369176835775
C3,-6.55766052422027,2.612138652606609e-13
CRB3,-1.852098057807953,0.0074587756420712
FUT3,-4.041776891393155,0.0013653976053437
LRG1,-4.099095583772383,0.0010611984311251
TJP3,-5.852824425354316,0.0196258845041945
AMH,-2.2843634841231357,0.0064186602054241
PCSK4,-1.5334599483754496,0.0183570422280137
ARHGAP45,-2.2833031707400187,3.831852794861134e-05
PLPP2,-3.028002745633595,0.0002440874300212
LINC01002,-4.333040719153038,0.0323656967177521
SERPINB3,-7.392863153545067,0.0038624389589982
SERPINB4,-7.650307641570944,0.0020384321807041
BCL2,-2.123410054327648,0.0120328990758647
CCBE1,-1.8638680868947008,0.0008162727080636
CCDC68,-2.5472986032043865,0.0033836127984998
RAB27B,-2.1952935393258195,2.7780035911095253e-05
MYO5B,-1.8140974281483644,4.9240596941487455e-06
SIGLEC15,-3.1067272683049136,0.0397502687723498
MOCOS,-1.7522745119365957,5.809517536654639e-08
ZSCAN30,-1.5597375030690983,0.0130538631899164
ANKRD29,-3.5496285947791337,0.0303358723373617
GATA6,-7.661564080532653,0.0015850766049986
GREB1L,-1.723718843327609,0.011296521229003
GACAT2,-3.1788423431712123,0.0348146224131136
DLGAP1-AS2,-5.47817965255037,0.0252600186457289
LPIN2,-1.7926584983053713,0.0001512128813923
METRNL,-3.698389907945046,9.900006533641892e-06
FN3K,-3.2605060015442056,0.0003391356887989
SECTM1,-1.7737890486822432,0.0020220064827639
ENDOV,-1.627491220437817,0.0192240287985352
SLC26A11,-1.68825033036801,0.0065815080116338
SGSH,-2.003164476872786,7.559658739598703e-07
CARD14,-4.263435601486648,9.145320852359284e-07
GAA,-3.128230531417909,1.537854732607971e-07
CEP295NL,-6.293198585819056,0.0117486261803068
TIMP2,-4.991426919111875,7.196388796848367e-10
SOCS3,-2.083125651631048,5.172393524895854e-14
