Gene,Log2FC,PVal
MXRA5,4.043700996426996,1.6699204560822134e-14
GYG2,4.778876280197689,4.776993904408929e-06
XG,7.794573671905457,1.3293707710715898e-11
CELSR1,2.024795049022893,7.036891462840189e-15
RPL4P6,1.5491695045060478,0.021847090658565
LGALS1,2.2464962627869234,0.0006811720085679
TIMP3,1.5409095891566786,2.3625865634982634e-06
MIR7109,5.095454873045492,0.0261842440387453
PLA2G3,4.684128637397937,0.000100715865077
SMTN,1.844705661716599,4.835921044655882e-07
SIRPAP1,6.90891826768148,0.0003602973768999
MTFP1,2.2889281856969186,0.0289292335946101
CASTOR1,2.6470074413934133,0.0009423002967987
NEFH,2.8947866418274533,0.0420395443404296
GAS2L1,2.158182830900875,2.1950761269843017e-10
KREMEN1,2.10210582877,6.562642748239728e-05
MN1,3.5439686180791026,3.8369945629199297e-22
SDF2L1,2.1106142109065904,6.77296838094396e-07
GGT2,5.227731845780084,0.0154086199535893
SLC7A4,2.999830597917557,0.0033101314771202
RN7SL168P,3.0777733100833435,0.00959503771017
PARP4P3,5.200185368094068,0.0089478145159108
TPTEP1,9.675928738690882,1.9544170705844413e-14
LSS,2.271416909704224,2.2417030126535017e-21
COL18A1-AS1,2.7437125410274152,1.1101493927751605e-06
COL18A1-AS2,2.79664556659362,0.0041580374118288
COL18A1,2.646507115919651,1.4073643174570078e-32
LINC01679,1.7103874769271743,0.0091172616053804
LINC00112,3.738365900519009,0.0183582405081476
DSCAM-IT1,2.5611083147877767,0.0015998202283229
DSCAM-AS1,5.048056489074338,0.0001164971622767
DSCAM,2.133875171766753,2.187165966518318e-05
KCNJ15,2.305394330000841,1.688914423168887e-06
CBR1,1.876675037230807,9.388902704956812e-07
IL10RB,1.7143108131102176,0.0060641272336154
ADAMTS1,3.721002511335505,1.738304187949691e-14
CYYR1,3.395235127358578,0.0173908503299398
CHODL,4.334507862780838,0.0093708379454532
MIR99AHG,2.437747961110168,0.0161752267335593
TEKT4P2,4.286505923089941,0.0332101520487661
MIR941-5,5.621362614469392,0.0001799179313234
DPH3P1,5.200185368094068,0.0089478145159108
COL9A3,4.09977684456456,0.0235885180874294
GNAS-AS1,3.11306488955772,0.0094709779157174
PMEPA1,2.416230985293814,2.7086697317122893e-09
SULF2,1.5471003498025775,0.0001290203933494
SLC2A10,6.170139939296189,1.1692115851266342e-05
ZNF334,1.503432967507034,0.0084823313025249
PLTP,6.643057517785636,2.182583697563616e-26
WFDC5,4.2779889925867325,0.0154740240647601
RN7SL615P,3.4173615153264256,0.0080219869828624
MAFB,2.260316487050732,0.0001393862398969
TGM2,2.7398377196828605,1.2896137905600562e-06
FAM83C,6.2216393297320405,3.069626158451085e-16
MIR663A,5.761943281531559,0.002257306431675
FOXA2,3.2728585265091583,2.058502105499488e-08
GCNT1P1,2.699691101132003,0.0194350140571708
OVOL2,1.937354079481079,0.0060454390472991
ISM1,1.8439835829872573,0.0006955117861217
SPTLC3,3.280208555911676,9.86353038933793e-09
PLCB4,2.7591332620781754,0.0004180458498296
LRRN4,1.8638608207215537,3.543247514419039e-05
SIRPB3P,3.715994518386645,0.0175860750304619
NRSN2,1.7112174665661248,0.0006041349999482
SOX12,3.1395179958888595,4.689648062778861e-11
ZSCAN18,8.456215209660346,1.0361410504182386e-19
ZNF135,8.438291680965392,2.433174567415715e-07
VN2R19P,3.228394311023945,0.0272718987146845
ZSCAN4,5.095454873045492,0.0261842440387453
ZIK1,4.425372191987999,2.6983761698801933e-09
PEG3,5.819082429721226,0.0024935100567074
ZFP28,7.563448103008072,3.744262143389154e-12
ZNF471,7.932880894409126,0.0001562553780739
ZNF667-AS1,7.507128307943038,8.74242173645793e-06
ZNF667,6.79185251713913,0.0001089238714983
ZNF583,5.200185368094068,0.0089478145159108
ZNF582,5.819082429721226,0.0024935100567074
ZNF542P,8.764039971696292,1.7809804195049985e-07
ZSCAN5DP,4.147422610410884,8.650538545630674e-06
CCDC106,1.8001789123056156,0.028310535613357
MIR6804,3.386588541060896,0.0134684553102613
TMEM86B,1.560730846026703,0.0481582309780897
ZNF331,2.4783384808780777,0.0002286974945112
TPM3P6,2.094346610204985,0.0230401940742566
ZNF677,7.606459761396407,1.1313481176967132e-05
ZNF665,6.79185251713913,0.0001089238714983
ZNF347,6.62944292116564,2.29644530543196e-08
ZNF415,6.204248997958302,0.0006566360740575
ZNF160,10.121212563761851,2.4125200800011766e-10
ZNF702P,6.204248997958302,0.0006566360740575
ZNF816,7.365872584138083,1.4458538323422923e-05
ZNF888,7.60800732605407,3.038642261868502e-08
ZNF320,7.677793245066304,1.002496101868832e-11
ZNF83,2.2344629631408504,1.5510010395634162e-06
ZNF701,2.1555346874733576,3.6195377035330496e-05
RPL39P34,6.1575429759089415,0.0009035888797509
ZNF808,9.143972076861584,1.2853260390577041e-08
ZNF578,4.251269891004156,0.0157594323793326
MIR643,3.281217783582872,0.0290518728416789
SPACA6,1.683996866973303,0.0002148927214787
ZNF175,6.798478339535032,4.075752677283124e-07
KLK11,2.421124052326064,0.0032299356598735
KLK10,1.547681964382669,0.0005230074766084
KLK8,5.307546738667183,2.1018670013536282e-15
KLK7,4.324454499418834,0.0006363370766077
JOSD2,1.6776664099995426,3.325724596038977e-05
PTOV1-AS2,1.8942099392713736,0.0116384771462691
TSKS,5.366726819051225,0.0471505208947682
TEAD2,1.8490505010961948,0.0003727261771398
PPFIA3,1.90451938182251,0.0032916180596619
PLEKHA4,3.890845151612389,1.8895919102882974e-07
